epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,30848.6,1.2498,0.55718,0.00164,0.93974,0.86152,0.92316,0.70465,1.06013,nan,0.0022,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,31511.3,1.24537,0.54854,0.00163,0.94166,0.85846,0.92427,0.70797,1.05093,nan,0.00218,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,32173.4,1.23556,0.54275,0.00161,0.93699,0.86255,0.92467,0.71138,1.04428,nan,0.00217,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,32836.1,1.22211,0.53171,0.0016,0.94649,0.856,0.9253,0.71508,1.03736,nan,0.00215,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,33498.8,1.20813,0.52428,0.00158,0.94331,0.85907,0.9256,0.71767,1.03145,0.48064,0.00214,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,34161.8,1.20872,0.53092,0.00157,0.94948,0.85606,0.92611,0.72044,1.02486,0.47825,0.00212,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,34824.9,1.19093,0.51172,0.00154,0.94716,0.86037,0.92649,0.72323,1.01717,0.47716,0.00211,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,35488.3,1.17659,0.50767,0.00151,0.94352,0.86318,0.92777,0.72662,1.01091,0.47472,0.00209,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,36151.2,1.16773,0.50003,0.00151,0.94933,0.86009,0.92821,0.72894,1.00595,0.47354,0.00208,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,36814.6,1.1633,0.49177,0.0015,0.95374,0.85909,0.92813,0.7311,0.99937,0.47457,0.00207,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,37478,1.15213,0.48572,0.00149,0.95102,0.86065,0.9286,0.73357,0.99419,0.47377,0.00205,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,38141.6,1.14791,0.48393,0.00147,0.95316,0.86034,0.92923,0.73591,0.98877,0.47252,0.00204,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,38805.4,1.12995,0.47315,0.00146,0.95421,0.85989,0.92972,0.73791,0.98608,0.47117,0.00204,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,39468.3,1.12884,0.46694,0.00145,0.95173,0.86417,0.92992,0.73953,0.98266,0.46894,0.00203,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,40131.7,1.11008,0.46809,0.00143,0.9532,0.86397,0.93011,0.7417,0.97728,0.47061,0.00202,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,40795,1.11176,0.46162,0.00142,0.9496,0.86458,0.93066,0.74339,0.97269,0.46891,0.00201,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,41458.6,1.10388,0.45843,0.00141,0.95107,0.86551,0.93087,0.74581,0.96775,0.46775,0.002,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,42122.1,1.09646,0.45047,0.0014,0.95226,0.86417,0.93089,0.74725,0.96375,0.46912,0.00198,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,42786,1.08234,0.44814,0.00138,0.9559,0.86339,0.93115,0.74963,0.95931,0.46633,0.00198,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,43449.4,1.07855,0.44301,0.00138,0.95454,0.86172,0.93079,0.7509,0.95482,0.46644,0.00197,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,44113.6,1.07698,0.43887,0.00137,0.95016,0.86581,0.93134,0.75262,0.95143,0.46464,0.00196,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,44777.9,1.06577,0.4342,0.00134,0.9492,0.86846,0.93149,0.75419,0.94645,0.46347,0.00195,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,45442,1.0544,0.42776,0.00134,0.95289,0.8656,0.93188,0.75595,0.94135,0.46207,0.00194,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,46106,1.04732,0.42265,0.00132,0.95245,0.86622,0.93196,0.75754,0.9383,0.46144,0.00193,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,46769.4,1.04312,0.42407,0.00132,0.95051,0.86744,0.93246,0.75912,0.93508,0.46022,0.00192,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,47433.4,1.04188,0.42575,0.00132,0.94842,0.87133,0.93264,0.76049,0.93304,0.46011,0.00192,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,48097.8,1.03318,0.42275,0.0013,0.95263,0.86765,0.93273,0.76188,0.92925,0.45831,0.00191,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,48761.9,1.03147,0.42357,0.0013,0.95492,0.86724,0.93292,0.76363,0.9254,0.45705,0.0019,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,49425.7,1.02076,0.4087,0.00128,0.94245,0.87629,0.93302,0.76529,0.92211,0.45729,0.0019,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,50089.5,1.00926,0.40305,0.00127,0.94371,0.87654,0.93363,0.767,0.9176,0.45706,0.00188,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,50752.7,1.00683,0.40597,0.00127,0.9482,0.87119,0.9338,0.76865,0.91411,0.45676,0.00188,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,51416.6,1.00483,0.40394,0.00127,0.94747,0.87377,0.93418,0.76997,0.91089,0.45599,0.00187,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,52080.6,0.99476,0.40085,0.00125,0.9536,0.87132,0.93451,0.77109,0.90722,0.45577,0.00186,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,52744.3,0.98787,0.39191,0.00124,0.95256,0.86969,0.93467,0.77247,0.90338,0.45712,0.00185,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,53408.2,0.98507,0.39372,0.00124,0.95461,0.86908,0.93489,0.77419,0.89983,0.45638,0.00184,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,54072,0.97974,0.38942,0.00123,0.95539,0.86806,0.93496,0.77593,0.89591,0.45483,0.00183,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,54735.9,0.98074,0.38922,0.00122,0.95408,0.86908,0.9352,0.7768,0.89365,0.45413,0.00183,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,55399.7,0.97662,0.38694,0.00122,0.95467,0.86888,0.9357,0.7783,0.88894,0.45516,0.00182,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,56063.7,0.96797,0.3876,0.00121,0.95532,0.86908,0.93599,0.77993,0.88507,0.4551,0.00181,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,56727.7,0.96228,0.37782,0.00121,0.9558,0.87001,0.93582,0.78132,0.88291,0.45377,0.00181,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,57391.5,0.95237,0.37278,0.00119,0.95899,0.86785,0.93609,0.78268,0.88013,0.45294,0.0018,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,58055.5,0.95497,0.3782,0.00119,0.96298,0.86612,0.93642,0.78467,0.87534,0.45253,0.00179,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,58719.4,0.94845,0.37207,0.00119,0.95511,0.87092,0.9366,0.78561,0.87326,0.45047,0.00179,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,59383.4,0.94087,0.37283,0.00117,0.96005,0.86871,0.9369,0.78647,0.87019,0.45156,0.00178,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,60047.4,0.9418,0.37481,0.00117,0.95243,0.87357,0.93716,0.78699,0.86718,0.45061,0.00178,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,60711.2,0.9276,0.36211,0.00115,0.95527,0.87316,0.93744,0.78831,0.86313,0.45196,0.00177,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,61374.7,0.93168,0.36691,0.00116,0.95679,0.87277,0.93782,0.79001,0.86048,0.44876,0.00176,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,62038.6,0.9242,0.36122,0.00115,0.95471,0.87582,0.93802,0.79197,0.85712,0.44844,0.00176,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,62702.5,0.92,0.35796,0.00115,0.95473,0.87684,0.93852,0.79233,0.85437,0.44921,0.00175,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,63366.6,0.9173,0.36031,0.00114,0.95544,0.87583,0.93888,0.79395,0.85023,0.45,0.00174,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,64030.7,0.91058,0.35841,0.00114,0.95703,0.87643,0.93911,0.79535,0.84683,0.45064,0.00173,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,64694.5,0.90128,0.35062,0.00112,0.9574,0.87643,0.93902,0.79682,0.84412,0.44836,0.00173,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,65358.6,0.9085,0.35473,0.00112,0.96105,0.87177,0.93904,0.79761,0.84084,0.44997,0.00172,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,66022.6,0.9065,0.35652,0.00112,0.95867,0.87643,0.93948,0.79889,0.83779,0.45022,0.00171,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,66686.6,0.89898,0.34961,0.00111,0.95768,0.87582,0.93947,0.79982,0.8339,0.45131,0.0017,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,67350.6,0.88563,0.34465,0.0011,0.95428,0.87806,0.93938,0.80125,0.83058,0.45289,0.0017,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,68014.1,0.88718,0.34485,0.00109,0.95422,0.87766,0.93929,0.80202,0.82769,0.45242,0.00169,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,68678.1,0.88934,0.34813,0.0011,0.95549,0.87683,0.93952,0.80317,0.824,0.45287,0.00168,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,69342.5,0.87659,0.33834,0.00108,0.95509,0.87751,0.93963,0.80439,0.82117,0.45298,0.00168,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,70006.3,0.87902,0.34085,0.00108,0.95572,0.87732,0.93996,0.80579,0.81773,0.45216,0.00167,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,70670.4,0.86667,0.33445,0.00107,0.95643,0.87745,0.94015,0.8076,0.81475,0.45185,0.00166,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,71334.5,0.87153,0.33596,0.00107,0.9626,0.87092,0.94002,0.80884,0.81111,0.45375,0.00166,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
