epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,6318.55,0.94941,1.33465,0.69438,0.00295,1.62719,0.924,0.91383,0.95934,0.73078,0.92441,0.91274,0.95833,0.68029,0.92305,1.33144,0.44622,0.00487,0,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289,0.000753867,0.000251289
37,6492.64,0.93768,1.31451,0.68143,0.0029,1.62947,0.92554,0.91395,0.95893,0.72994,0.92542,0.91301,0.95815,0.68144,0.92655,1.33252,0.44756,0.00489,0,0.000752263,0.000250754,0.000752263,0.000250754,0.000752263,0.000250754,0.000752263,0.000250754
38,6661.47,0.95267,1.34649,0.68397,0.00298,1.60707,0.91925,0.92012,0.9594,0.73314,0.91866,0.9195,0.95871,0.68127,0.91997,1.32716,0.44429,0.00485,0,0.000750659,0.00025022,0.000750659,0.00025022,0.000750659,0.00025022,0.000750659,0.00025022
39,6827.39,0.93681,1.3067,0.65368,0.0029,1.55606,0.92886,0.91694,0.96109,0.73547,0.92895,0.91612,0.96052,0.68399,0.91882,1.32718,0.43865,0.00485,0,0.000749056,0.000249685,0.000749056,0.000249685,0.000749056,0.000249685,0.000749056,0.000249685
40,6992.89,0.95038,1.32665,0.65501,0.00297,1.56782,0.92672,0.91959,0.96107,0.73434,0.92721,0.91855,0.96044,0.6834,0.92018,1.32866,0.43716,0.00484,0,0.000747452,0.000249151,0.000747452,0.000249151,0.000747452,0.000249151,0.000747452,0.000249151
41,7376.12,0.94193,1.31781,0.6535,0.00292,1.54986,0.92797,0.91626,0.96134,0.73531,0.92828,0.91499,0.96055,0.68489,0.91898,1.32237,0.43471,0.00485,0,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616,0.000745848,0.000248616
42,7545.39,0.94465,1.33035,0.65116,0.00289,1.55525,0.92691,0.92262,0.96185,0.73499,0.92685,0.92205,0.96089,0.68505,0.91853,1.32375,0.43168,0.00484,0,0.000744244,0.000248081,0.000744244,0.000248081,0.000744244,0.000248081,0.000744244,0.000248081
43,7711,0.92692,1.30053,0.62297,0.00289,1.53241,0.92631,0.92476,0.96206,0.73441,0.92676,0.92281,0.961,0.68625,0.92259,1.32743,0.43103,0.00486,0,0.00074264,0.000247547,0.00074264,0.000247547,0.00074264,0.000247547,0.00074264,0.000247547
44,7878.58,0.94328,1.33085,0.63413,0.00296,1.52972,0.93584,0.9168,0.96194,0.73485,0.93539,0.91637,0.96074,0.68646,0.92195,1.32882,0.43215,0.00485,0,0.000741037,0.000247012,0.000741037,0.000247012,0.000741037,0.000247012,0.000741037,0.000247012
45,8046.78,0.93722,1.31545,0.62367,0.00291,1.52569,0.93386,0.92206,0.96337,0.73706,0.9334,0.92162,0.96239,0.68741,0.91672,1.32313,0.4273,0.00482,0,0.000739433,0.000246478,0.000739433,0.000246478,0.000739433,0.000246478,0.000739433,0.000246478
