epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,10517.7,1.07504,1.40904,0.48017,0.00886,1.03034,0.98425,0.98285,0.99217,0.74662,0.92628,0.9183,0.91707,0.50648,0.9818,1.19283,0.27882,0.01339,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,10758.9,1.06608,1.40767,0.46843,0.0088,1.06788,0.98491,0.98264,0.99212,0.75269,0.92309,0.92413,0.91557,0.50916,0.96465,1.19373,0.27332,0.01316,0,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,11003.2,1.05722,1.39063,0.45914,0.00877,0.98992,0.98433,0.98259,0.99203,0.74866,0.92311,0.92057,0.91223,0.50454,0.97228,1.19215,0.27153,0.01332,0,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,11244.3,1.0573,1.39044,0.45426,0.00873,1.02234,0.98295,0.98144,0.99118,0.74806,0.92628,0.92234,0.91834,0.50332,0.96419,1.18718,0.2768,0.0132,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,11485.5,1.04937,1.39306,0.4498,0.00866,1.06868,0.97728,0.98689,0.99171,0.75508,0.92886,0.92376,0.92062,0.51221,0.95664,1.18659,0.27761,0.01308,0,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,11729.5,1.04669,1.37671,0.44786,0.00858,1.01437,0.98004,0.98728,0.99227,0.75523,0.92868,0.92151,0.92008,0.51582,0.9603,1.18561,0.26882,0.01315,0,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,11972.9,1.05241,1.39654,0.44879,0.00861,1.01795,0.98682,0.98082,0.99179,0.7543,0.92348,0.91726,0.91062,0.50884,0.95908,1.18499,0.27323,0.01312,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,12214.8,1.05594,1.39227,0.45728,0.00868,1.00434,0.98281,0.98477,0.99178,0.754,0.92448,0.91771,0.9195,0.51289,0.96615,1.19581,0.27063,0.0132,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,12456.2,1.04821,1.39459,0.4472,0.00856,0.98284,0.98404,0.98439,0.99191,0.75308,0.92405,0.92352,0.91751,0.51085,0.9625,1.17959,0.26845,0.01318,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,12697.6,1.04666,1.37506,0.44345,0.00863,0.96432,0.98784,0.98248,0.99269,0.75411,0.92978,0.92109,0.91769,0.51195,0.95683,1.18152,0.27135,0.01308,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,12938.4,1.04453,1.37628,0.44859,0.00857,0.96269,0.98167,0.98611,0.99257,0.75317,0.92341,0.92522,0.91579,0.50869,0.9558,1.17876,0.2689,0.01308,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,13179.9,1.04005,1.38159,0.47363,0.00851,0.97498,0.98406,0.98423,0.99158,0.74337,0.91944,0.91636,0.90888,0.49805,0.96519,1.18857,0.27851,0.01318,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,13421,1.03943,1.35635,0.44688,0.00853,0.9319,0.98653,0.98729,0.99173,0.75256,0.92582,0.92408,0.91193,0.50812,0.96266,1.19025,0.27017,0.01316,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,13663,1.04543,1.36754,0.43778,0.00858,0.93008,0.9862,0.984,0.99187,0.75498,0.92344,0.925,0.91744,0.5126,0.95746,1.18229,0.27077,0.01307,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,13904.2,1.04002,1.36602,0.44088,0.00857,0.9532,0.98874,0.98333,0.99216,0.75901,0.92756,0.9205,0.91839,0.5157,0.96024,1.18294,0.26593,0.01312,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,14146.5,1.03423,1.37422,0.44277,0.00849,0.94312,0.98545,0.98464,0.99193,0.7547,0.92444,0.92323,0.91413,0.51069,0.95869,1.17831,0.26574,0.0131,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,14387.8,1.02703,1.3532,0.43818,0.00837,0.98264,0.98178,0.98422,0.99218,0.76202,0.91892,0.92089,0.92026,0.51795,0.95561,1.17344,0.27019,0.01304,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,14631,1.03218,1.36209,0.4317,0.00847,0.87587,0.98485,0.98693,0.99179,0.7641,0.91997,0.92189,0.91741,0.52058,0.95087,1.18167,0.26884,0.01301,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,14874.2,1.03028,1.3573,0.43123,0.00847,0.8735,0.9841,0.98937,0.99235,0.76041,0.92071,0.92179,0.91896,0.51676,0.95268,1.18682,0.26574,0.01301,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,15115.9,1.01942,1.34422,0.42411,0.00835,0.90494,0.98565,0.98926,0.99204,0.76035,0.92458,0.92685,0.92669,0.51983,0.95042,1.18184,0.26216,0.01295,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
